date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:06	290/290	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Feb%202015%2019:08:00%20GMT	http://users.fuw.edu.pl/robots.txt		(from )
14:08:06	3752/3752	---M--	200	added ('OK')	text/html	etag:%22148350-ea8-36471457c7b80%22	http://users.fuw.edu.pl/~michalj/palmos/	users.fuw.edu.pl/_michalj/palmos/index.html	(from )
14:08:07	778/778	---M--	200	added ('OK')	image/gif	etag:%222f869c-30a-3646fbe00c180%22	http://users.fuw.edu.pl/~michalj/palmos/images/rpcplogo.gif	users.fuw.edu.pl/_michalj/palmos/images/rpcplogo.gif	(from http://users.fuw.edu.pl/~michalj/palmos/)
14:08:11	20717/20717	---M--	200	added ('OK')	text/html	etag:%225abaa5-50ed-3646fbb615e80%22	http://users.fuw.edu.pl/~michalj/palmos/CompanionTOC.html	users.fuw.edu.pl/_michalj/palmos/CompanionTOC.html	(from http://users.fuw.edu.pl/~michalj/palmos/)
14:08:11	97587/97587	---M--	200	added ('OK')	text/html	etag:%226c1ef0-17d33-3646fbcb11000%22	http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html	users.fuw.edu.pl/_michalj/palmos/ReferenceTOC.html	(from http://users.fuw.edu.pl/~michalj/palmos/)
14:08:12	3752/3752	---M--	200	added ('OK')	text/html	etag:%22148350-ea8-36471457c7b80%22	http://users.fuw.edu.pl/~michalj/palmos/index.html	users.fuw.edu.pl/_michalj/palmos/index-2.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:13	412/412	---M--	200	added ('OK')	image/gif	etag:%222f8695-19c-3646fbde23d00%22	http://users.fuw.edu.pl/~michalj/palmos/images/palmtop.gif	users.fuw.edu.pl/_michalj/palmos/images/palmtop.gif	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:16	258387/258387	---M--	200	added ('OK')	text/html	etag:%226c1eef-3f153-3646fbcb11000%22	http://users.fuw.edu.pl/~michalj/palmos/ReferenceIX.html	users.fuw.edu.pl/_michalj/palmos/ReferenceIX.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:17	481/481	---M--	200	added ('OK')	image/gif	etag:%222f868d-1e1-3646fbdc3b880%22	http://users.fuw.edu.pl/~michalj/palmos/images/index.gif	users.fuw.edu.pl/_michalj/palmos/images/index.gif	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:17	4801/4801	---M--	200	added ('OK')	text/html	etag:%226c1eee-12c1-3646fbcb11000%22	http://users.fuw.edu.pl/~michalj/palmos/RefAbout.html	users.fuw.edu.pl/_michalj/palmos/RefAbout.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:17	311/311	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Feb%202015%2019:08:12%20GMT	http://users.fuw.edu.pl/~michalj/palmos/images/next.gif	users.fuw.edu.pl/_michalj/palmos/images/next.8.delayed	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:18	298/298	---M--	200	added ('OK')	image/gif	etag:%222f8696-12a-3646fbd682b00%22	http://users.fuw.edu.pl/~michalj/palmos/images/PCPplain.gif	users.fuw.edu.pl/_michalj/palmos/images/PCPplain.gif	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:19	65661/65661	---M--	200	added ('OK')	text/html	etag:%225aba9c-1007d-3646fbb245580%22	http://users.fuw.edu.pl/~michalj/palmos/AppLaunchCodes.html	users.fuw.edu.pl/_michalj/palmos/AppLaunchCodes.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:20	67989/67989	---M--	200	added ('OK')	text/html	etag:%225f6429-10995-3646fbd0c9d80%22	http://users.fuw.edu.pl/~michalj/palmos/UIResources.html	users.fuw.edu.pl/_michalj/palmos/UIResources.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:22	85412/85412	---M--	200	added ('OK')	text/html	etag:%22f7148-14da4-3646fbbdb7080%22	http://users.fuw.edu.pl/~michalj/palmos/EventRef.html	users.fuw.edu.pl/_michalj/palmos/EventRef.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:24	46774/46774	---M--	200	added ('OK')	text/html	etag:%225abaa0-b6b6-3646fbb42da00%22	http://users.fuw.edu.pl/~michalj/palmos/Category.html	users.fuw.edu.pl/_michalj/palmos/Category.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:25	11060/11060	---M--	200	added ('OK')	text/html	etag:%225abaa2-2b34-3646fbb42da00%22	http://users.fuw.edu.pl/~michalj/palmos/Clipboard.html	users.fuw.edu.pl/_michalj/palmos/Clipboard.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:28	78599/78599	---M--	200	added ('OK')	text/html	etag:%22f7140-13307-3646fbb7fe300%22	http://users.fuw.edu.pl/~michalj/palmos/Control.html	users.fuw.edu.pl/_michalj/palmos/Control.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:29	20062/20062	---M--	200	added ('OK')	text/html	etag:%22f7143-4e5e-3646fbbbcec00%22	http://users.fuw.edu.pl/~michalj/palmos/DateAndTimeSelector.html	users.fuw.edu.pl/_michalj/palmos/DateAndTimeSelector.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:30	132580/132580	---M--	200	added ('OK')	text/html	etag:%22f714b-205e4-3646fbbf9f500%22	http://users.fuw.edu.pl/~michalj/palmos/Field.html	users.fuw.edu.pl/_michalj/palmos/Field.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:31	10581/10581	---M--	200	added ('OK')	text/html	etag:%22f714e-2955-3646fbbf9f500%22	http://users.fuw.edu.pl/~michalj/palmos/Find.html	users.fuw.edu.pl/_michalj/palmos/Find.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:34	180349/180349	---M--	200	added ('OK')	text/html	etag:%22f7151-2c07d-3646fbbf9f500%22	http://users.fuw.edu.pl/~michalj/palmos/Form.html	users.fuw.edu.pl/_michalj/palmos/Form.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:34	7238/7238	---M--	200	added ('OK')	text/html	etag:%223ae1bd-1c46-3646fbc187980%22	http://users.fuw.edu.pl/~michalj/palmos/GraffitiShift.html	users.fuw.edu.pl/_michalj/palmos/GraffitiShift.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:34	9331/9331	---M--	200	added ('OK')	text/html	etag:%22148352-2473-3646fbc187980%22	http://users.fuw.edu.pl/~michalj/palmos/InsertionPoint.html	users.fuw.edu.pl/_michalj/palmos/InsertionPoint.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:35	37057/37057	---M--	200	added ('OK')	text/html	etag:%22148356-90c1-3646fbc187980%22	http://users.fuw.edu.pl/~michalj/palmos/List.html	users.fuw.edu.pl/_michalj/palmos/List.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:36	75014/75014	---M--	200	added ('OK')	text/html	etag:%2214835a-12506-3646fbc558280%22	http://users.fuw.edu.pl/~michalj/palmos/Menu.html	users.fuw.edu.pl/_michalj/palmos/Menu.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
14:08:38	7609/7609	---M--	200	added ('OK')	text/html	etag:%226c1eeb-1db9-3646fbc928b80%22	http://users.fuw.edu.pl/~michalj/palmos/PrivateRecords.html	users.fuw.edu.pl/_michalj/palmos/PrivateRecords.html	(from http://users.fuw.edu.pl/~michalj/palmos/ReferenceTOC.html)
