date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:44	23630/23630	---M-Z	200	added ('OK')	text/html	etag:%225c4e-4f5cb391ae6e4-gzip%22	http://mobile.eric-poncet.com/palm/tutorial.html	mobile.eric-poncet.com/palm/tutorial.html	(from )
16:55:44	34/34	---M--	200	added ('OK')	text/plain	etag:%2222-4f5b7b6fefedf%22	http://mobile.eric-poncet.com/robots.txt		(from )
16:55:44	2722/2722	---M--	200	added ('OK')	image/gif	etag:%22aa2-4f5b7aeea5b79%22	http://mobile.eric-poncet.com/palm/screens/launcher.gif	mobile.eric-poncet.com/palm/screens/launcher.gif	(from http://mobile.eric-poncet.com/palm/tutorial.html)
16:55:45	16394/16394	---M-Z	200	added ('OK')	text/html	etag:%22400a-4f5cb389e81d1-gzip%22	http://mobile.eric-poncet.com/palm/tutorial/hello.html	mobile.eric-poncet.com/palm/tutorial/hello.html	(from http://mobile.eric-poncet.com/palm/tutorial.html)
16:55:45	1846/1846	---M--	200	added ('OK')	image/gif	etag:%22736-4f5b7aec21a50%22	http://mobile.eric-poncet.com/palm/screens/hello.gif	mobile.eric-poncet.com/palm/screens/hello.gif	(from http://mobile.eric-poncet.com/palm/tutorial.html)
16:55:45	20645/20645	---M-Z	200	added ('OK')	text/html	etag:%2250a5-4f5cb388f751d-gzip%22	http://mobile.eric-poncet.com/palm/tutorial/forms.html	mobile.eric-poncet.com/palm/tutorial/forms.html	(from http://mobile.eric-poncet.com/palm/tutorial.html)
16:55:45	2195/2195	---M--	200	added ('OK')	image/gif	etag:%22893-4f5b7ae9b10d2%22	http://mobile.eric-poncet.com/palm/screens/forms.gif	mobile.eric-poncet.com/palm/screens/forms.gif	(from http://mobile.eric-poncet.com/palm/tutorial.html)
16:55:46	19434/19434	---M-Z	200	added ('OK')	text/html	etag:%224bea-4f5cb38cb59d4-gzip%22	http://mobile.eric-poncet.com/palm/tutorial/menu.html	mobile.eric-poncet.com/palm/tutorial/menu.html	(from http://mobile.eric-poncet.com/palm/tutorial.html)
16:55:46	1846/1846	---M--	200	added ('OK')	image/gif	etag:%22736-4f5b7aef40dcd%22	http://mobile.eric-poncet.com/palm/screens/menu.gif	mobile.eric-poncet.com/palm/screens/menu.gif	(from http://mobile.eric-poncet.com/palm/tutorial.html)
16:55:46	17201/17201	---M-Z	200	added ('OK')	text/html	etag:%224331-4f5cb38dab88f-gzip%22	http://mobile.eric-poncet.com/palm/tutorial/prefs.html	mobile.eric-poncet.com/palm/tutorial/prefs.html	(from http://mobile.eric-poncet.com/palm/tutorial.html)
